person_id,id,name,character,role
557165,tm135083,Abdel Aziz Khalil,Abu Gaber,actor
557166,tm135083,Said Khalil,Jadallah,actor
557167,tm135083,Abdel Ghani Nagdi,Sa'idi traveller,actor
557168,tm135083,Loutfi El Hakim,Unknown,actor
557169,tm135083,Abdel Hamid Bodaoha,Shawish Hassanein,actor
557170,tm135083,F. El Demerdache,Unknown,actor
557171,tm135083,Said El Araby,Unknown,actor
538017,tm135083,Ahmed Abaza,Mansour,actor
557172,tm135083,Hana Abdel Fattah,Unknown,actor
557173,tm135083,Safia Sarwat,Unknown,actor
557178,tm135083,Asaad Kellada,(as Assaad Kellada),actor
555008,tm135083,Naima Wasfy,Hallawatim,actor
1521416,tm135083,Sherine,Unknown,actor
1521414,tm135083,Soheir,Unknown,actor
1321149,tm135083,Esmat Mahmoud,Unknown,actor
1521441,tm135083,Nawal Morsi,Unknown,actor
1521413,tm135083,Gharib Moawad,Unknown,actor
1521412,tm135083,Mohamed Mazhar,Unknown,actor
1521534,tm135083,Galal Issa,Unknown,actor
1521409,tm135083,Mahrous El Garhi,Unknown,actor
1521506,tm135083,Ahmed El Tantawi,Unknown,actor
1521407,tm135083,S. Abdel Aziz,Unknown,actor
225932,tm135083,Nadia Lotfi,Unknown,actor
2342528,tm135083,Safia Tharwat,Halawethom,actor
173191,tm135083,Youssef Chahine,Unknown,director
218173,tm89386,Gert Westphal,Narrator (voice),actor
41187,tm89386,Joachim Fest,Unknown,director
15595,tm156453,Jane Fonda,Herself,actor
1765,tm156453,Donald Sutherland,Himself,actor
529469,tm156453,Pamela Donegan,Herself,actor
529467,tm156453,Len Chandler,Himself,actor
37864,tm156453,Michael Alaimo,Himself,actor
208243,tm156453,Holly Near,Herself,actor
70582,tm156453,Paul Mooney,Himself,actor
488851,tm156453,Rita Martinson,Herself,actor
32267,tm156453,Peter Boyle,Himself,actor
473965,tm156453,Steve Jaffe,Himself,actor
529468,tm156453,Francine Parker,Unknown,director
173189,tm14350,Farid Shawqi,Mohsen's Father,actor
530826,tm14350,Mahmoud el-Meliguy,Qadry,actor
216804,tm14350,Ezzat El Alaili,Shaker,actor
538123,tm14350,Youssef Wahby,Souril,actor
537218,tm14350,Yehia Chahine,Unknown,actor
558944,tm14350,Leila Fawzi,Unknown,actor
745894,tm14350,Akela Kateb,Unknown,actor
1326853,tm14350,Zeinab Sedky,Unknown,actor
493971,tm14350,Ahmad Abdel Waress,Unknown,actor
479007,tm14350,Abdel Azziz Makhyoun,Unknown,actor
745892,tm14350,Ahmed Mehrez,Unknown,actor
540702,tm14350,Abdel Warith Assir,The Sheikh,actor
745900,tm14350,Aida Kamel,Unknown,actor
745891,tm14350,Oussaida Abbass,Unknown,actor
536986,tm14350,Zouzou Hamdy El-Hakim,Unknown,actor
745890,tm14350,Abdel Salam Mohamed,Unknown,actor
745889,tm14350,Halima El Soghayar,Unknown,actor
745888,tm14350,Samira Mohamed,Unknown,actor
745887,tm14350,Abou Hachich,Unknown,actor
745886,tm14350,Gamil El Traboulsi,Unknown,actor
223449,tm14350,Ahmad Zaki,Ibrahim,actor
323651,tm14350,Ahmad Bedir,Unknown,actor
530275,tm14350,Naglaa Fathy,Unknown,actor
452580,tm14350,Abdullah Mahmoud,Mohsen,actor
1113158,tm14350,Mohsena Tawfik,Yehya's Mother,actor
740561,tm14350,Seif Abdelrahman,Unknown,actor
173191,tm14350,Youssef Chahine,Unknown,director
216804,tm81728,Ezzat El Alaili,Abd El-Hadi,actor
530826,tm81728,Mahmoud el-Meliguy,Mohamed Abu Swelam,actor
452578,tm81728,Hamdy Ahmed,Mohammad Effendi,actor
537218,tm81728,Yehia Chahine,Hassuna,actor
498370,tm81728,Tewfik El Dekn,Khedr,actor
676484,tm81728,Ali El Sherif,Diab,actor
451939,tm81728,Salah El-Saadany,Elwani,actor
525264,tm81728,Nagwa Ibrahim,Wasifa,actor
540702,tm81728,Abdel Warith Assir,El Omda,actor
1332498,tm81728,Fatma Omara‏,Khadra,actor
1635403,tm81728,Ashraf Al-Selehdar,Mahmoud Bik,actor
1320859,tm81728,Hussein Ismail,Shenawy,actor
1330957,tm81728,Mahmoud Al Iraq,Unknown,actor
1014405,tm81728,Faiza Abdelgawwad,Unknown,actor
173191,tm81728,Youssef Chahine,Unknown,director
6958,tm94651,Amitabh Bachchan,Vijay Varma,actor
104308,tm94651,Shatrughan Sinha,Ravi Kapoor,actor
105220,tm94651,Zeenat Aman,Sheetal Sahni,actor
57763,tm94651,Prem Chopra,Mr. Daaga,actor
63303,tm94651,Amrish Puri,Balwant Singh,actor
105226,tm94651,Helen,Sylvia,actor
105221,tm94651,Pran,Tony,actor
511559,tm94651,Gajanan Jagirdar,High School Principal,actor
511558,tm94651,Sajjan,Ramnik Lal Tiwari,actor
68725,tm94651,Iftekhar,Prosecuting Lawyer,actor
434348,tm94651,K.N. Singh,Judge,actor
568116,tm94651,Trilok Kapoor,Unknown,actor
511561,tm94651,Abhimanyu Sharma,Unknown,actor
299653,tm94651,Goga Kapoor,Unknown,actor
105228,tm94651,Mac Mohan,Unknown,actor
104310,tm94651,Paintal,Unknown,actor
509316,tm94651,Jagdish Raj,Unknown,actor
509943,tm94651,Ruby Myers,Unknown,actor
